SystemName,2018,2019
PIG,0.24528998457722018,0.25117169620022506
COX,0.2551546504374453,
INC,,0.2641923345476989
WMV,0.25746216148563356,0.2595165638445002
BCM,,
DOL,0.2427538871612602,0.2368340326730097
NOL,,
MAS,0.24734415468014911,0.24840593447788153
MIC,,
BIH,0.24368282915039444,0.2408543203431023
BOW,,
LMC,0.24940315669241164,0.2554103525500082
BKM,,
KRA,0.25871842293574965,0.257997928206934
FAS,0.24773018597115398,0.25021699777713413
TRX,,
WLK,0.2485604161851671,0.25426825994716046
SGR,0.24698023606993608,0.25051908372886333
BOB,,
CNG,0.25448339020902044,0.2597795071787747
REN,,
ZAM,0.24503646831835743,0.25805235670106286
EBP,0.2341837807761042,0.2428423475280177
KBM,,
UCS,,
MvG,,
DWH,,
YAG,0.24400907993874094,0.25399162082228427
HOL,,
HKS,,
BD,,
BUR,0.2526275004664317,0.2602105111921978
LEF,,0.25625919646659057
HRN,,
ARG,0.23604968531318726,0.23590665736595312
FMG,0.2516996592342786,0.2621891328061523
MOR,0.253173126959791,0.25173033825856284
ECK,,
INP,,
SCR,,
WOB,0.248979663179054,0.24827197232639103
RIS,,
PTS,,
STH,0.24048173115272328,0.2598577363256389
RM,,
GRN,,
PMC,,
STF,,
CTL,,
RTH,0.2640821364890072,0.2650987635440135
SMN,0.23976042809418127,0.25246699998796607
KEL,,
AUS,,
BWE,0.25085394570752895,0.2567119889724018
KOS,,
JRT,,
GRS,,
IMS,,
UPS,,
SE,,
D1A,,
CRW,,
KPK,0.23489831135063025,0.2351162327422811
AP,0.23080366462066976,0.23900353944171898
FSH,0.2563834054035403,0.2624503637776197
BP5,,
PIR,,0.25519843465882236
SAP,,
DDB,0.22569471234730165,
RTP,0.22628358052949263,0.22466183818697374
RSE,,
BNM,,
LAB,0.23954627665731945,
ADE,,
KMV,,
JJK,0.2477046750126526,0.2460584290206972
CPR,,
AWS,,0.254620564197246
BPI,,
POM,0.2449381982309507,0.25200356064422774
DC2,0.24039175488145328,
KPI,0.2573380009787988,0.2582990101806944
TOL,,
STM,0.25159139135643444,0.2564089160304787
ROG,,
MMG,0.25658373990028066,0.23233381870780048
WOL,0.23058385963505876,0.22846415198398362
PPR,,
NOR,,
SAU,,
SMS,0.24857755968558823,0.24488013049752747
BBT,0.23273514822324473,0.23526877444037242
LYD,,
HER,,
RTR,,
REW,0.24331698234026927,0.23649730807856978
DCI,0.25746235121533406,0.2539932507544399
DUN,0.24552830903892173,0.2585746101933974
BLS,0.2512350813449152,
DAV,0.25284752079198,0.2557222646973396
RT,0.2505116596931787,0.2593333370777807
CMV,,
JEN,,
SAG,0.2530049183065586,0.26518192796269946
PRR,0.24584095193916383,
ENT,,
HAS,0.2562670378039057,0.25372827487240573
BNT,0.2506526681239335,0.2615335553081175
JCI,,
WMR,,
CPA,,
ISR,,
OMY,,
ROH,,
7OT,0.23337882213879368,0.23939722277900996
MPI,,
BRZ,,
TRP,0.24994746882888388,0.25797765528063327
STS,,
SPR,0.2546920307083816,0.25599945459542345
REI,,
JON,,
RTB,,
SP,0.2555154974058292,0.2671210495539132
EBB,,
MCL,,
LAW,,0.2606685229938427
ERD,,
MGS,,0.24181847754944844
TSR,,
MUZ,,
MSX,,
RSL,,
COL,0.2394645449049192,0.2372810556224059
ESR,0.23390982236004065,0.24512327406307446
LOG,0.23369306201064607,0.2416589291047083
DOK,0.2551730832860585,0.2578934784031332
SFX,0.240170150193165,0.23606922144631792
SPW,0.21755338751500705,0.22779002545280308
PH,,
RAG,,
LYN,,
PKL,,
TMR,,
SIM,,
DC,,
CRO,,
PEQ,,
TRK,0.2504628364349471,0.2535676499207757
HKB,,
STR,,
WTE,,
KLK,,
PGH,0.24577370149161423,0.24407928458493072
TBD,,
NET,,0.2561340043379209
MKV,,
GC,,
ACU,,
TPR,0.25046988822802835,0.2553755074121918
RPI,0.22917340904333255,
TW,,
DES,0.22156360698017705,0.25199180038760177
CJB,,
SEL,0.25199896033997143,0.25614849519226174
JNG,0.22142005621159308,0.22233592766950047
MB,,
DII,0.24311078800528327,0.2520891696919881
OCT,,
HAT,,
WLS,,0.26577769712778315
WIL,0.2543703060420639,0.24977187518375268
USA,0.24546599255863275,0.25378080819050175
MGY,,
